Date,Close,High,Low,Open,Volume
2025-01-02,414.568603515625,421.9868450538027,410.8743686174563,421.45201157982797,16896500
2025-01-03,419.2929382324219,419.9664143701195,415.51945282325784,417.0446728600811,16662900
2025-01-06,423.7497863769531,430.15778356293015,421.4025036603563,423.8983428352595,20573600
2025-01-07,418.322265625,426.52291408196885,416.76730426764124,424.8887326935554,18139100
2025-01-08,420.4912414550781,422.87814893015604,417.5001944020304,419.40177722214224,15054600
2025-01-10,414.9350891113281,420.6398687578953,411.0427285040194,420.56064872084147,20201100
2025-01-13,413.19195556640625,414.489399057034,408.3389196630922,411.26063086426467,17604800
2025-01-14,411.6864929199219,415.7174656234234,406.783918522941,413.80596878606093,16935900
2025-01-15,422.2245178222656,424.04688082339095,414.2615595275802,415.11333355996726,19637800
2025-01-16,420.5110778808594,425.3740271428382,420.3229265289763,424.5916197701724,15300000
2025-01-17,424.91845703125,430.31623990051855,424.06671321451194,429.9299628963343,26197500
2025-01-21,424.3935241699219,426.7705180269004,421.52132200002626,426.0772445238866,26085700
2025-01-22,441.9239196777344,442.98364251820686,431.82165779523024,433.366705345479,27803800
2025-01-23,442.4289855957031,442.46861072225846,437.26892363486763,437.7641319289048,18389300
2025-01-24,439.804443359375,442.3696190202124,437.16993127456703,440.8939077892008,15549500
2025-01-27,430.3955078125,431.02938905138365,419.44150078843165,419.94662301159696,35647800
2025-01-28,442.9143371582031,444.08302154903276,427.24593852989443,430.43508134605355,23491700
2025-01-29,438.09100341796875,442.5974175154718,436.17950645057016,442.40923592540474,23581400
2025-01-30,411.0130310058594,418.8076058708813,409.20058168065486,414.75680505351727,54586300
2025-01-31,411.082275390625,416.65832519378665,410.93371895872554,414.96472141990625,34161900
2025-02-03,406.98199462890625,411.4289554040879,404.74364348455,407.6554706497357,25679100
2025-02-04,408.4180908203125,409.9532546940812,405.81329031153365,408.7350313881363,20532100
2025-02-05,409.3293151855469,409.8641184268012,406.4669964929513,408.39832109505767,16316700
2025-02-06,411.83502197265625,414.1922182257068,410.03245657619226,410.03245657619226,16309800
2025-02-07,405.8232116699219,414.63791357819275,404.1890302854019,412.48872643025265,22886800
2025-02-10,408.2695617675781,411.47850211303046,406.9820321839411,409.74527293691693,20817900
